iter	RMSE
0	16.03669748
1	16.02715006
2	16.01791252
3	16.0085437
4	15.99917259
5	15.98991608
6	15.98062497
7	15.97142769
8	15.9622992
9	15.95305857
10	15.94375081
11	15.93450139
12	15.92515607
13	15.91592146
14	15.90668657
15	15.8974332
16	15.8881904
17	15.87896645
18	15.86973805
19	15.86051076
20	15.85130973
21	15.84206607
22	15.83299584
23	15.82391603
24	15.81497666
25	15.80619507
26	15.79697976
27	15.78820656
28	15.77911142
29	15.77006617
30	15.76113412
31	15.75213085
32	15.7431942
33	15.73414305
34	15.72535396
35	15.71631147
36	15.70719444
37	15.69835757
38	15.68924874
39	15.68044389
40	15.67144688
41	15.66254099
42	15.6535113
43	15.64470473
44	15.63575862
45	15.62694776
46	15.61842168
47	15.60979007
48	15.60097296
49	15.5922334
50	15.58368792
51	15.57505992
52	15.5662097
53	15.55752257
54	15.54865471
55	15.53987433
56	15.53094577
57	15.52222105
58	15.51338654
59	15.50463878
60	15.4961484
61	15.48765504
62	15.47897751
63	15.47037974
64	15.46169531
65	15.45289685
66	15.44440396
67	15.43576855
68	15.4273661
69	15.41889257
70	15.41032584
71	15.40162339
72	15.39306243
73	15.38452392
74	15.37621243
75	15.36773563
76	15.35921332
77	15.3506249
78	15.34231689
79	15.33374956
80	15.32548099
81	15.31696221
82	15.30835641
83	15.29983385
84	15.29144277
85	15.28304813
86	15.27464189
87	15.26611994
88	15.25763547
89	15.24928119
90	15.24116253
91	15.23284471
92	15.2245119
93	15.21621867
94	15.20793802
95	15.1996001
96	15.19121727
97	15.18317088
98	15.17492121
99	15.16651259
100	15.15819341
101	15.14978261
102	15.14161084
103	15.13342324
104	15.12523327
105	15.11702234
106	15.10875617
107	15.1006772
108	15.09263073
109	15.08452244
110	15.07631377
111	15.06813493
112	15.05990433
113	15.0517781
114	15.04374441
115	15.03556563
116	15.02751854
117	15.01941649
118	15.01135152
119	15.00345232
120	14.99554999
121	14.98761201
122	14.97959793
123	14.97165395
124	14.96355247
125	14.95546954
126	14.94742102
127	14.93956794
128	14.93161938
129	14.92353337
130	14.91566449
131	14.90772542
132	14.8998567
133	14.8918786
134	14.8838259
135	14.8758908
136	14.86789502
137	14.85996528
138	14.85204935
139	14.84432482
140	14.83638353
141	14.82865608
142	14.82088912
143	14.81306375
144	14.80513365
145	14.79734585
146	14.78956778
147	14.78209643
148	14.77416713
149	14.76635742
150	14.75851155
151	14.75065197
152	14.74292204
153	14.73523496
154	14.72745426
155	14.71986268
156	14.71229139
157	14.70465169
158	14.69685828
159	14.68911041
160	14.68155663
161	14.67380625
162	14.66609672
163	14.65841987
164	14.65076205
165	14.64319378
166	14.63565603
167	14.6280858
168	14.62048061
169	14.61277985
170	14.60522412
171	14.5976599
172	14.59033197
173	14.58261053
174	14.57512783
175	14.56774508
176	14.56018504
177	14.55287906
178	14.54521245
179	14.5377468
180	14.53026637
181	14.52265096
182	14.51513004
183	14.50763534
184	14.50007954
185	14.49263209
186	14.48522031
187	14.47793366
188	14.47039802
189	14.46306108
190	14.45561915
191	14.44832374
192	14.44084191
193	14.43364833
194	14.42627952
195	14.41896826
196	14.41163202
197	14.40415382
198	14.39675978
199	14.38937217
200	14.38207679
201	14.37470122
202	14.36763661
203	14.36041886
204	14.35312029
205	14.34584632
206	14.33857615
207	14.33150132
208	14.32413994
209	14.31680437
210	14.30941035
211	14.30236078
212	14.29542348
213	14.28825212
214	14.28095379
215	14.27371974
216	14.26657757
217	14.25949228
218	14.25231365
219	14.24524088
220	14.23810723
221	14.23120805
222	14.22420388
223	14.21716814
224	14.21010956
225	14.20286317
226	14.19580737
227	14.18884045
228	14.18166917
229	14.1747172
230	14.16759158
231	14.1603865
232	14.15333829
233	14.14637376
234	14.13931187
235	14.13223818
236	14.12516541
237	14.11820667
238	14.11119944
239	14.10438867
240	14.09746472
241	14.0904273
242	14.08327533
243	14.07626509
244	14.06925095
245	14.06242059
246	14.05555948
247	14.04870655
248	14.04171022
249	14.03465235
250	14.02769712
251	14.02079687
252	14.01400816
253	14.00721743
254	14.00027187
255	13.99338409
256	13.986572
257	13.97974447
258	13.97302671
259	13.9661421
260	13.95944707
261	13.95266578
262	13.94575566
263	13.93904572
264	13.93216333
265	13.92558268
266	13.91893984
267	13.91212801
268	13.90544397
269	13.89863558
270	13.8918686
271	13.88519514
272	13.87850639
273	13.87195025
274	13.8653704
275	13.85877841
276	13.85207832
277	13.84541812
278	13.8388165
279	13.83199259
280	13.82528238
281	13.81873511
282	13.81214273
283	13.80547368
284	13.79915872
285	13.79249794
286	13.78610567
287	13.77969261
288	13.77324196
289	13.76661309
290	13.7599345
291	13.75336635
292	13.7467854
293	13.74031929
294	13.73371383
295	13.72721732
296	13.72083962
297	13.71442614
298	13.70795617
299	13.70157029
300	13.69503476
301	13.68865346
302	13.68210496
303	13.67557814
304	13.66916334
305	13.66280589
306	13.65640421
307	13.64992615
308	13.64367473
309	13.63724805
310	13.63079084
311	13.6243598
312	13.61795449
313	13.61147711
314	13.60512786
315	13.59881585
316	13.59249525
317	13.58613467
318	13.57981159
319	13.57350037
320	13.56706248
321	13.56080645
322	13.55446023
323	13.54831916
324	13.54206776
325	13.53573966
326	13.52943827
327	13.52333988
328	13.51707818
329	13.5107421
330	13.5045305
331	13.49844154
332	13.49216923
333	13.48582172
334	13.47960824
335	13.47344883
336	13.46727575
337	13.46106367
338	13.45484036
339	13.44881368
340	13.44264674
341	13.43652493
342	13.43046851
343	13.42443487
344	13.41842846
345	13.41238458
346	13.40631948
347	13.40019487
348	13.39416529
349	13.38802407
350	13.38187579
351	13.37564743
352	13.36950341
353	13.36343465
354	13.35727366
355	13.35129724
356	13.34527581
357	13.33923442
358	13.33317821
359	13.32717935
360	13.32134515
361	13.31526178
362	13.30930712
363	13.30335245
364	13.29730785
365	13.29119715
366	13.28529557
367	13.27923198
368	13.2732388
369	13.26725855
370	13.26134384
371	13.25539887
372	13.24928182
373	13.24317158
374	13.23729516
375	13.23148642
376	13.2255655
377	13.21970001
378	13.21372465
379	13.20786316
380	13.20186991
381	13.19600377
382	13.19015783
383	13.18443188
384	13.17878586
385	13.17307568
386	13.1671702
387	13.16123655
388	13.15538327
389	13.14951072
390	13.14374583
391	13.13804514
392	13.13233068
393	13.12648972
394	13.12070322
395	13.11495213
396	13.10900242
397	13.1033205
398	13.09753536
399	13.09184448
400	13.086211
401	13.08046008
402	13.07472909
403	13.06919483
404	13.06340259
405	13.05758851
406	13.05176665
407	13.04608527
408	13.04028174
409	13.03461898
410	13.02887537
411	13.02305502
412	13.01740613
413	13.01187038
414	13.00628613
415	13.00054762
416	12.9948523
417	12.98917824
418	12.98354824
419	12.97797535
420	12.97258703
421	12.9669924
422	12.96161568
423	12.95596328
424	12.95028771
425	12.94475226
426	12.93911825
427	12.93359869
428	12.92810296
429	12.92254245
430	12.91702833
431	12.91154704
432	12.90602192
433	12.90050483
434	12.89488546
435	12.88935374
436	12.88404037
437	12.87856957
438	12.8731829
439	12.86766211
440	12.86219997
441	12.85669328
442	12.85133878
443	12.84590301
444	12.84052213
445	12.83495682
446	12.82947957
447	12.82433888
448	12.81899141
449	12.81370929
450	12.80837065
451	12.80300233
452	12.79754307
453	12.79198848
454	12.78662743
455	12.7811115
456	12.77574338
457	12.77042649
458	12.76507768
459	12.75978409
460	12.75446468
461	12.74913836
462	12.74375655
463	12.73844833
464	12.73304599
465	12.72776585
466	12.72245732
467	12.71711778
468	12.71177856
469	12.70660391
470	12.701364
471	12.69610179
472	12.69078235
473	12.68545332
474	12.68021149
475	12.6749275
476	12.66964624
477	12.66463967
478	12.65938545
479	12.654027
480	12.64886832
481	12.64368141
482	12.63851832
483	12.63324108
484	12.62799601
485	12.62261313
486	12.61737075
487	12.6121734
488	12.6069892
489	12.60189234
490	12.59664505
491	12.59137145
492	12.5862395
493	12.58110365
494	12.57602045
495	12.57083678
496	12.56595491
497	12.56074594
498	12.55570745
499	12.55053603
500	12.54545069
501	12.54033114
502	12.53534216
503	12.5304262
504	12.52560733
505	12.52056339
506	12.51563349
507	12.51053051
508	12.50557341
509	12.50050716
510	12.49555198
511	12.49039593
512	12.48528895
513	12.4801566
514	12.47524839
515	12.47022464
516	12.46536984
517	12.46036678
518	12.45540513
519	12.4505649
520	12.4455122
521	12.44058028
522	12.43556719
523	12.43040162
524	12.42537319
525	12.42039618
526	12.41538062
527	12.41042286
528	12.40553929
529	12.40059077
530	12.39564321
531	12.39058068
532	12.3856058
533	12.38078992
534	12.37586257
535	12.3710283
536	12.36614359
537	12.36127083
538	12.35645018
539	12.35156651
540	12.34670514
541	12.34192443
542	12.33722025
543	12.33248925
544	12.32763416
545	12.32276784
546	12.31793767
547	12.31318739
548	12.30849789
549	12.30373292
550	12.29881501
551	12.29395894
552	12.28926286
553	12.28436898
554	12.27979596
555	12.27504269
556	12.27038644
557	12.26557378
558	12.26076272
559	12.25610441
560	12.2514933
561	12.2467237
562	12.24201045
563	12.23733683
564	12.23256393
565	12.22791795
566	12.22325782
567	12.21848808
568	12.21371147
569	12.20903531
570	12.20429984
571	12.19963789
572	12.19490412
573	12.19018356
574	12.18562212
575	12.18107871
576	12.17651878
577	12.17189976
578	12.16709975
579	12.16240061
580	12.15783758
581	12.15341112
582	12.14877877
583	12.14430734
584	12.1396906
585	12.13502787
586	12.13058072
587	12.12611392
588	12.12150358
589	12.11700069
590	12.11248856
591	12.10781733
592	12.10329334
593	12.09859048
594	12.09417368
595	12.08993783
596	12.0853268
597	12.08078467
598	12.07620582
599	12.07156531
600	12.06714097
601	12.0624965
602	12.05808494
603	12.0535313
604	12.04910491
605	12.04454215
606	12.04002819
607	12.03559174
608	12.03118308
609	12.02671592
610	12.02228497
611	12.01786631
612	12.01339419
613	12.00913123
614	12.00473174
615	12.00049591
616	11.99598799
617	11.99152088
618	11.98702537
619	11.98251331
620	11.9780899
621	11.97374867
622	11.96933298
623	11.96490061
624	11.96052953
625	11.95626465
626	11.95187402
627	11.94761772
628	11.94324287
629	11.93880433
630	11.93451485
631	11.93008176
632	11.92572075
633	11.9214891
634	11.9171827
635	11.91290849
636	11.90866751
637	11.90426206
638	11.89997587
639	11.89574308
640	11.89138493
641	11.88698558
642	11.88271777
643	11.8783602
644	11.87403145
645	11.86966026
646	11.86551169
647	11.86131386
648	11.85722264
649	11.85286636
650	11.84858763
651	11.84441478
652	11.84018923
653	11.83600378
654	11.83168445
655	11.82753963
656	11.82315238
657	11.81899237
658	11.81467069
659	11.8105283
660	11.80623421
661	11.80194479
662	11.79788208
663	11.79377652
664	11.78955442
665	11.78536815
666	11.78116756
667	11.77702928
668	11.77291585
669	11.76881797
670	11.76464036
671	11.76042908
672	11.75630324
673	11.75215842
674	11.74804093
675	11.7439085
676	11.73968933
677	11.73565728
678	11.73154014
679	11.72746807
680	11.72350722
681	11.71952453
682	11.7153204
683	11.7111944
684	11.70691059
685	11.70288941
686	11.69878462
687	11.69477069
688	11.69066669
689	11.68665405
690	11.68266371
691	11.67871848
692	11.67470633
693	11.67074081
694	11.6666381
695	11.66264589
696	11.65864348
697	11.6546034
698	11.65057431
699	11.6466166
700	11.64264229
701	11.63869219
702	11.63476913
703	11.63084092
704	11.62690814
705	11.62292267
706	11.61900614
707	11.61511037
708	11.6111589
709	11.60720181
710	11.60317353
711	11.59928941
712	11.59528847
713	11.59128921
714	11.58739379
715	11.58339886
716	11.57954417
717	11.5756131
718	11.57159413
719	11.56761032
720	11.56377945
721	11.55988291
722	11.55592083
723	11.55199836
724	11.54798322
725	11.54418215
726	11.54043012
727	11.53668876
728	11.53281906
729	11.52888851
730	11.52496096
731	11.52123306
732	11.5173898
733	11.51363757
734	11.50984645
735	11.5060819
736	11.50236649
737	11.49850864
738	11.49468384
739	11.49085789
740	11.48693789
741	11.48316188
742	11.47944026
743	11.47560032
744	11.47197492
745	11.46821747
746	11.46438582
747	11.46060662
748	11.4568254
749	11.45328797
750	11.44972466
751	11.44590535
752	11.44224765
753	11.43845145
754	11.43476416
755	11.43085282
756	11.42723095
757	11.42339488
758	11.41967157
759	11.4158558
760	11.41211775
761	11.40839653
762	11.40469032
763	11.40106508
764	11.3974685
765	11.39381355
766	11.39014621
767	11.38640186
768	11.38273466
769	11.37896664
770	11.37527381
771	11.37160382
772	11.3680092
773	11.36429563
774	11.36066599
775	11.35707666
776	11.35346525
777	11.34964184
778	11.34587727
779	11.34230077
780	11.3386339
781	11.33512364
782	11.33150445
783	11.3278812
784	11.32414209
785	11.32060683
786	11.31717733
787	11.31361505
788	11.31006681
789	11.3065862
790	11.30278946
791	11.29927513
792	11.29570696
793	11.29208498
794	11.28844873
795	11.28488474
796	11.28120555
797	11.27760121
798	11.27400117
799	11.27050037
800	11.26684024
801	11.26331273
802	11.2598637
803	11.25637106
804	11.25288032
805	11.24925304
806	11.24569258
807	11.24222818
808	11.2388801
809	11.23534082
810	11.23193094
811	11.22860052
812	11.22526185
813	11.22165397
814	11.21815222
815	11.21465461
816	11.21120704
817	11.20767505
818	11.20438142
819	11.20104366
820	11.19756564
821	11.19419492
822	11.19078422
823	11.18740502
824	11.18394807
825	11.18042326
826	11.17706211
827	11.17363919
828	11.17022529
829	11.16686327
830	11.16341634
831	11.15993948
832	11.15650125
833	11.15305054
834	11.14967046
835	11.14615586
836	11.14273449
837	11.13944345
838	11.13606206
839	11.13276613
840	11.12935845
841	11.12600318
842	11.12265931
843	11.11933317
844	11.11602014
845	11.11260777
846	11.10927071
847	11.10596863
848	11.10258546
849	11.0991496
850	11.09576886
851	11.09244738
852	11.08907169
853	11.0857122
854	11.08249652
855	11.07908142
856	11.07580986
857	11.07240398
858	11.06903498
859	11.06571662
860	11.06239138
861	11.05913186
862	11.05567542
863	11.05242325
864	11.04937681
865	11.04614652
866	11.04288324
867	11.03952166
868	11.03619543
869	11.03290368
870	11.02973203
871	11.02644189
872	11.02323527
873	11.0200959
874	11.01694612
875	11.01369649
876	11.01055482
877	11.00737223
878	11.00417608
879	11.0010122
880	10.99784934
881	10.99459666
882	10.99148685
883	10.98824767
884	10.98493579
885	10.98176205
886	10.97868634
887	10.97556532
888	10.97230022
889	10.96906852
890	10.96599001
891	10.96284901
892	10.95976016
893	10.95654045
894	10.95347421
895	10.95025496
896	10.94712149
897	10.94395504
898	10.94066117
899	10.93753459
900	10.93442654
901	10.9313566
902	10.92828937
903	10.92519135
904	10.92202754
905	10.91890901
906	10.91580452
907	10.91275701
908	10.90965176
909	10.90653963
910	10.903541
911	10.90056596
912	10.89748517
913	10.89451444
914	10.8914758
915	10.88844838
916	10.8854923
917	10.88241741
918	10.87941293
919	10.87642809
920	10.87335842
921	10.87027886
922	10.8672082
923	10.86416269
924	10.86113296
925	10.85808804
926	10.85508914
927	10.85199505
928	10.84893612
929	10.84594884
930	10.84302361
931	10.83996312
932	10.83695609
933	10.83388794
934	10.83083918
935	10.82783131
936	10.82486121
937	10.82179077
938	10.81881643
939	10.81579981
940	10.81274246
941	10.80974172
942	10.80686152
943	10.80386556
944	10.80082764
945	10.7978571
946	10.79489937
947	10.79185859
948	10.78890165
949	10.78595465
950	10.78305538
951	10.78016334
952	10.77728455
953	10.77437761
954	10.77144259
955	10.76859877
956	10.765811
957	10.76298016
958	10.76016662
959	10.75723784
960	10.75433781
961	10.75148094
962	10.74856589
963	10.74564347
964	10.74274381
965	10.73991638
966	10.73708088
967	10.73428053
968	10.73128524
969	10.72836608
970	10.72546172
971	10.72255435
972	10.71964154
973	10.71670993
974	10.71387833
975	10.71089815
976	10.70810832
977	10.70527492
978	10.70242191
979	10.69967891
980	10.69686204
981	10.69389305
982	10.69110882
983	10.68819931
984	10.685426
985	10.68263259
986	10.67982373
987	10.67712964
988	10.67426958
989	10.67151775
990	10.66868622
991	10.66583821
992	10.6629533
993	10.66015491
994	10.65736306
995	10.6546209
996	10.65185283
997	10.64905411
998	10.6462615
999	10.64353759
